init_magnet,Energy,Density,order,init_stab,length,init_freeze,sample
-0.2,-0.642578125,0.3408203125,random,0.8,6,0.17,2114889880
-0.2,-0.50390625,0.5283203125,off_first,1.0,0,0.17,2114889880
-0.2,-0.548828125,0.3984375,random,1.0,1,0.17,2114889880
0.0,-1.0,0.0,off_first,0.0,0,0.17,2114889880
0.0,-1.0,0.0,random,0.0,1,0.17,2114889880
0.0,-0.876953125,0.15625,off_first,0.2,0,0.17,2114889880
0.0,-1.0,0.0,random,0.2,1,0.17,2114889880
0.0,-0.69140625,0.3671875,off_first,0.4,0,0.17,2114889880
0.0,-0.953125,0.02734375,random,0.4,1,0.17,2114889880
0.0,-0.677734375,0.3837890625,off_first,0.5,0,0.17,2114889880
0.0,-0.92578125,0.0556640625,random,0.5,2,0.17,2114889880
0.0,-0.697265625,0.3212890625,off_first,0.6,0,0.17,2114889880
0.0,-0.865234375,0.0986328125,random,0.6,12,0.17,2114889880
0.0,-0.625,0.3662109375,off_first,0.8,0,0.17,2114889880
0.0,-0.7734375,0.169921875,random,0.8,6,0.17,2114889880
0.0,-0.537109375,0.41015625,off_first,1.0,0,0.17,2114889880
0.0,-0.67578125,0.2421875,random,1.0,1,0.17,2114889880
0.2,-1.0,0.0,off_first,0.0,0,0.17,2114889880
0.2,-1.0,0.0,random,0.0,1,0.17,2114889880
0.2,-0.8828125,0.1611328125,off_first,0.2,0,0.17,2114889880
0.2,-1.0,0.0,random,0.2,1,0.17,2114889880
0.2,-0.86328125,0.1220703125,off_first,0.4,0,0.17,2114889880
0.2,-1.0,0.0,random,0.4,1,0.17,2114889880
0.2,-0.80859375,0.1904296875,off_first,0.5,0,0.17,2114889880
0.2,-0.958984375,0.0263671875,random,0.5,1,0.17,2114889880
0.2,-0.818359375,0.1826171875,off_first,0.6,0,0.17,2114889880
0.2,-0.947265625,0.035400390625,random,0.6,4,0.17,2114889880
0.2,-0.705078125,0.232421875,off_first,0.8,0,0.17,2114889880
0.2,-0.83984375,0.0986328125,random,0.8,2,0.17,2114889880
0.2,-0.69921875,0.228515625,off_first,1.0,0,0.17,2114889880
0.2,-0.833984375,0.109375,random,1.0,1,0.17,2114889880
0.4,-0.9921875,0.001953125,off_first,0.0,0,0.17,2114889880
0.4,-1.0,0.0,random,0.0,1,0.17,2114889880
0.4,-0.974609375,0.03125,off_first,0.2,0,0.17,2114889880
0.4,-1.0,0.0,random,0.2,1,0.17,2114889880
0.4,-0.923828125,0.068359375,off_first,0.4,0,0.17,2114889880
0.4,-0.990234375,0.005859375,random,0.4,1,0.17,2114889880
0.4,-0.970703125,0.017578125,off_first,0.5,0,0.17,2114889880
0.4,-1.0,0.0,random,0.5,1,0.17,2114889880
0.4,-0.9609375,0.021484375,off_first,0.6,0,0.17,2114889880
0.4,-1.0,0.0,random,0.6,1,0.17,2114889880
0.4,-0.884765625,0.0654296875,off_first,0.8,0,0.17,2114889880
0.4,-1.0,0.0,random,0.8,1,0.17,2114889880
0.4,-0.875,0.07421875,off_first,1.0,0,0.17,2114889880
0.4,-0.923828125,0.044921875,random,1.0,1,0.17,2114889880
-0.4,-1.0,0.0,off_first,0.0,0,0.15,2114889853
-0.4,-1.0,0.0,random,0.0,1,0.15,2114889853
-0.4,-0.6875,0.5625,off_first,0.2,0,0.15,2114889853
-0.4,-0.9140625,0.11279296875,random,0.2,12,0.15,2114889853
-0.4,-0.591796875,0.6845703125,off_first,0.4,0,0.15,2114889853
-0.4,-0.734375,0.3341471354166667,random,0.4,60,0.15,2114889853
-0.4,-0.57421875,0.6328125,off_first,0.5,0,0.15,2114889853
-0.4,-0.724609375,0.31396484375,random,0.5,12,0.15,2114889853
-0.4,-0.556640625,0.7138671875,off_first,0.6,0,0.15,2114889853
-0.4,-0.580078125,0.53125,random,0.6,60,0.15,2114889853
-0.4,-0.490234375,0.7177734375,off_first,0.8,0,0.15,2114889853
-0.4,-0.548828125,0.56005859375,random,0.8,6,0.15,2114889853
-0.4,-0.47265625,0.7255859375,off_first,1.0,0,0.15,2114889853
-0.4,-0.462890625,0.6171875,random,1.0,1,0.15,2114889853
-0.2,-1.0,0.0,off_first,0.0,0,0.15,2114889853
-0.2,-1.0,0.0,random,0.0,1,0.15,2114889853
-0.2,-0.6953125,0.490234375,off_first,0.2,0,0.15,2114889853
-0.2,-0.94921875,0.05454799107142857,random,0.2,21,0.15,2114889853
-0.2,-0.62109375,0.5751953125,off_first,0.4,0,0.15,2114889853
-0.2,-0.767578125,0.25490606398809523,random,0.4,420,0.15,2114889853
-0.2,-0.615234375,0.5869140625,off_first,0.5,0,0.15,2114889853
-0.2,-0.7578125,0.2762276785714285,random,0.5,84,0.15,2114889853
