init_magnet,Energy,Consensus,order
0.4,-0.76953125,0.193359375,off_first
0.4,-0.951171875,0.939453125,random
0.5,-0.826171875,0.55859375,off_first
0.5,-0.96484375,0.9326171875,random
0.6,-0.90234375,0.822265625,off_first
0.6,-0.9921875,0.9921875,random
0.8,-0.9921875,0.9921875,off_first
0.8,-1.0,1.0,random
0.2,-0.76953125,0.412109375,off_first
0.2,-0.880859375,0.6891741071428571,random
0.4,-0.771484375,0.119140625,off_first
0.4,-0.93359375,0.8798828125,random
0.5,-0.841796875,0.595703125,off_first
0.5,-0.984375,0.984375,random
0.6,-0.94921875,0.8984375,off_first
