init_magnet,Energy,Density,order,init_stab,length,init_freeze,sample
0.4,-1.0,0.0,random,0.0,1,0.2,2096179952
0.4,-1.0,0.0,off_first,0.2,0,0.2,2096179952
0.4,-1.0,0.0,random,0.2,1,0.2,2096179952
0.4,-0.96484375,0.0263671875,off_first,0.4,0,0.2,2096179952
0.4,-1.0,0.0,random,0.4,1,0.2,2096179952
0.4,-0.95703125,0.0234375,off_first,0.5,0,0.2,2096179952
0.4,-0.97265625,0.01611328125,random,0.5,2,0.2,2096179952
0.4,-0.955078125,0.04296875,off_first,0.6,0,0.2,2096179952
0.4,-0.9921875,0.00390625,random,0.6,1,0.2,2096179952
0.4,-0.90234375,0.060546875,off_first,0.8,0,0.2,2096179952
0.4,-0.95703125,0.0234375,random,0.8,1,0.2,2096179952
0.4,-0.890625,0.0625,off_first,1.0,0,0.2,2096179952
0.4,-0.93359375,0.0390625,random,1.0,1,0.2,2096179952
-0.4,-0.984375,0.00390625,off_first,0.0,0,0.3,2096179952
-0.4,-1.0,0.0,random,0.0,1,0.3,2096179952
-0.4,-0.96875,0.029296875,off_first,0.2,0,0.3,2096179952
-0.4,-1.0,0.0,random,0.2,1,0.3,2096179952
-0.4,-0.865234375,0.1171875,off_first,0.4,0,0.3,2096179952
-0.4,-0.943359375,0.04850260416666666,random,0.4,6,0.3,2096179952
-0.4,-0.771484375,0.208984375,off_first,0.5,0,0.3,2096179952
-0.4,-0.890625,0.0791015625,random,0.5,2,0.3,2096179952
-0.4,-0.71484375,0.271484375,off_first,0.6,0,0.3,2096179952
-0.4,-0.80859375,0.16064453125,random,0.6,30,0.3,2096179952
-0.4,-0.615234375,0.2958984375,off_first,0.8,0,0.3,2096179952
-0.4,-0.67578125,0.22998046875,random,0.8,12,0.3,2096179952
-0.4,-0.529296875,0.392578125,off_first,1.0,0,0.3,2096179952
-0.4,-0.625,0.296875,random,1.0,1,0.3,2096179952
-0.2,-0.9921875,0.001953125,off_first,0.0,0,0.3,2096179952
-0.2,-1.0,0.0,random,0.0,1,0.3,2096179952
-0.2,-0.9765625,0.0078125,off_first,0.2,0,0.3,2096179952
-0.2,-0.9921875,0.00390625,random,0.2,1,0.3,2096179952
-0.2,-0.904296875,0.0908203125,off_first,0.4,0,0.3,2096179952
-0.2,-0.93359375,0.0615234375,random,0.4,2,0.3,2096179952
-0.2,-0.861328125,0.111328125,off_first,0.5,0,0.3,2096179952
-0.2,-0.91796875,0.06201171875,random,0.5,6,0.3,2096179952
-0.2,-0.765625,0.1875,off_first,0.6,0,0.3,2096179952
-0.2,-0.904296875,0.05615234375,random,0.6,2,0.3,2096179952
-0.2,-0.740234375,0.216796875,off_first,0.8,0,0.3,2096179952
-0.2,-0.833984375,0.125,random,0.8,6,0.3,2096179952
-0.2,-0.66796875,0.240234375,off_first,1.0,0,0.3,2096179952
-0.2,-0.755859375,0.1630859375,random,1.0,1,0.3,2096179952
0.0,-0.984375,0.00390625,off_first,0.0,0,0.3,2096179952
0.0,-1.0,0.0,random,0.0,1,0.3,2096179952
0.0,-0.98046875,0.009765625,off_first,0.2,0,0.3,2096179952
0.0,-0.990234375,0.005859375,random,0.2,1,0.3,2096179952
0.0,-0.943359375,0.0390625,off_first,0.4,0,0.3,2096179952
0.0,-1.0,0.0,random,0.4,1,0.3,2096179952
0.0,-0.92578125,0.052734375,off_first,0.5,0,0.3,2096179952
0.0,-0.98828125,0.00830078125,random,0.5,2,0.3,2096179952
0.0,-0.869140625,0.111328125,off_first,0.6,0,0.3,2096179952
0.0,-0.935546875,0.04052734375,random,0.6,2,0.3,2096179952
0.0,-0.8203125,0.1259765625,off_first,0.8,0,0.3,2096179952
0.0,-0.890625,0.0693359375,random,0.8,1,0.3,2096179952
0.0,-0.666015625,0.2216796875,off_first,1.0,0,0.3,2096179952
0.0,-0.818359375,0.1123046875,random,1.0,1,0.3,2096179952
0.2,-0.984375,0.00390625,off_first,0.0,0,0.3,2096179952
0.2,-1.0,0.0,random,0.0,1,0.3,2096179952
0.2,-0.982421875,0.0078125,off_first,0.2,0,0.3,2096179952
0.2,-1.0,0.0,random,0.2,1,0.3,2096179952
0.2,-0.97265625,0.0185546875,off_first,0.4,0,0.3,2096179952
0.2,-1.0,0.0,random,0.4,1,0.3,2096179952
0.2,-0.98046875,0.01171875,off_first,0.5,0,0.3,2096179952
0.2,-0.98828125,0.00830078125,random,0.5,2,0.3,2096179952
0.2,-0.90234375,0.0625,off_first,0.6,0,0.3,2096179952
0.2,-0.984375,0.0078125,random,0.6,1,0.3,2096179952
0.2,-0.908203125,0.0634765625,off_first,0.8,0,0.3,2096179952
0.2,-0.953125,0.0283203125,random,0.8,1,0.3,2096179952
0.2,-0.81640625,0.123046875,off_first,1.0,0,0.3,2096179952
0.2,-0.857421875,0.0859375,random,1.0,1,0.3,2096179952
0.4,-0.96875,0.0078125,off_first,0.0,0,0.3,2096179952
0.4,-1.0,0.0,random,0.0,1,0.3,2096179952
0.4,-1.0,0.0,off_first,0.2,0,0.3,2096179952
0.4,-1.0,0.0,random,0.2,1,0.3,2096179952
0.4,-0.986328125,0.01171875,off_first,0.4,0,0.3,2096179952
0.4,-1.0,0.0,random,0.4,1,0.3,2096179952
0.4,-0.9765625,0.021484375,off_first,0.5,0,0.3,2096179952
0.4,-1.0,0.0,random,0.5,1,0.3,2096179952
0.4,-0.98828125,0.0078125,off_first,0.6,0,0.3,2096179952
0.4,-1.0,0.0,random,0.6,1,0.3,2096179952
0.4,-0.921875,0.046875,off_first,0.8,0,0.3,2096179952
0.4,-0.970703125,0.015625,random,0.8,1,0.3,2096179952
0.4,-0.9453125,0.029296875,off_first,1.0,0,0.3,2096179952
0.4,-0.984375,0.0078125,random,1.0,1,0.3,2096179952
-0.4,-1.0,0.0,off_first,0.0,0,0.4,2096179952
-0.4,-1.0,0.0,random,0.0,1,0.4,2096179952
-0.4,-0.96875,0.009765625,off_first,0.2,0,0.4,2096179952
-0.4,-0.9921875,0.00390625,random,0.2,1,0.4,2096179952
-0.4,-0.958984375,0.02734375,off_first,0.4,0,0.4,2096179952
-0.4,-0.9921875,0.00390625,random,0.4,1,0.4,2096179952
-0.4,-0.89453125,0.0712890625,off_first,0.5,0,0.4,2096179952
-0.4,-0.9375,0.03564453125,random,0.5,6,0.4,2096179952
-0.4,-0.904296875,0.060546875,off_first,0.6,0,0.4,2096179952
-0.4,-0.9296875,0.041015625,random,0.6,2,0.4,2096179952
-0.4,-0.701171875,0.2001953125,off_first,0.8,0,0.4,2096179952
-0.4,-0.75390625,0.14892578125,random,0.8,2,0.4,2096179952
-0.4,-0.677734375,0.2275390625,off_first,1.0,0,0.4,2096179952
-0.4,-0.755859375,0.15625,random,1.0,1,0.4,2096179952
-0.2,-0.9765625,0.005859375,off_first,0.0,0,0.4,2096179952
-0.2,-1.0,0.0,random,0.0,1,0.4,2096179952
-0.2,-0.984375,0.00390625,off_first,0.2,0,0.4,2096179952
-0.2,-1.0,0.0,random,0.2,1,0.4,2096179952
-0.2,-0.974609375,0.017578125,off_first,0.4,0,0.4,2096179952
-0.2,-1.0,0.0,random,0.4,1,0.4,2096179952
-0.2,-0.9375,0.0478515625,off_first,0.5,0,0.4,2096179952
-0.2,-0.98046875,0.01171875,random,0.5,1,0.4,2096179952
-0.2,-0.896484375,0.0732421875,off_first,0.6,0,0.4,2096179952
-0.2,-0.974609375,0.01611328125,random,0.6,2,0.4,2096179952
-0.2,-0.82421875,0.1142578125,off_first,0.8,0,0.4,2096179952
-0.2,-0.880859375,0.0751953125,random,0.8,1,0.4,2096179952
-0.2,-0.751953125,0.1611328125,off_first,1.0,0,0.4,2096179952
-0.2,-0.861328125,0.08984375,random,1.0,1,0.4,2096179952
0.0,-0.9453125,0.013671875,off_first,0.0,0,0.4,2096179952
0.0,-1.0,0.0,random,0.0,1,0.4,2096179952
0.0,-1.0,0.0,off_first,0.2,0,0.4,2096179952
0.0,-1.0,0.0,random,0.2,1,0.4,2096179952
0.0,-0.98046875,0.01171875,off_first,0.4,0,0.4,2096179952
0.0,-1.0,0.0,random,0.4,1,0.4,2096179952
0.0,-0.97265625,0.017578125,off_first,0.5,0,0.4,2096179952
0.0,-0.97265625,0.015625,random,0.5,1,0.4,2096179952
0.0,-0.9921875,0.00390625,off_first,0.6,0,0.4,2096179952
0.0,-1.0,0.0,random,0.6,1,0.4,2096179952
0.0,-0.904296875,0.0634765625,off_first,0.8,0,0.4,2096179952
0.0,-0.9375,0.0390625,random,0.8,1,0.4,2096179952
0.0,-0.841796875,0.0986328125,off_first,1.0,0,0.4,2096179952
0.0,-0.923828125,0.0419921875,random,1.0,1,0.4,2096179952
0.2,-0.9765625,0.005859375,off_first,0.0,0,0.4,2096179952
0.2,-1.0,0.0,random,0.0,1,0.4,2096179952
0.2,-0.9765625,0.005859375,off_first,0.2,0,0.4,2096179952
0.2,-1.0,0.0,random,0.2,1,0.4,2096179952
0.2,-0.966796875,0.017578125,off_first,0.4,0,0.4,2096179952
0.2,-0.990234375,0.005859375,random,0.4,1,0.4,2096179952
0.2,-0.984375,0.0146484375,off_first,0.5,0,0.4,2096179952
0.2,-1.0,0.0,random,0.5,1,0.4,2096179952
0.2,-0.962890625,0.021484375,off_first,0.6,0,0.4,2096179952
0.2,-0.9921875,0.00390625,random,0.6,1,0.4,2096179952
0.2,-0.92578125,0.0390625,off_first,0.8,0,0.4,2096179952
0.2,-0.951171875,0.025390625,random,0.8,1,0.4,2096179952
0.2,-0.91015625,0.0546875,off_first,1.0,0,0.4,2096179952
0.2,-0.94140625,0.037109375,random,1.0,1,0.4,2096179952
0.4,-0.9609375,0.009765625,off_first,0.0,0,0.4,2096179952
0.4,-1.0,0.0,random,0.0,1,0.4,2096179952
0.4,-0.96875,0.0078125,off_first,0.2,0,0.4,2096179952
0.4,-1.0,0.0,random,0.2,1,0.4,2096179952
0.4,-1.0,0.0,off_first,0.4,0,0.4,2096179952
0.4,-1.0,0.0,random,0.4,1,0.4,2096179952
0.4,-0.984375,0.005859375,off_first,0.5,0,0.4,2096179952
0.4,-1.0,0.0,random,0.5,1,0.4,2096179952
0.4,-1.0,0.0,off_first,0.6,0,0.4,2096179952
0.4,-1.0,0.0,random,0.6,1,0.4,2096179952
0.4,-0.990234375,0.005859375,off_first,0.8,0,0.4,2096179952
0.4,-1.0,0.0,random,0.8,1,0.4,2096179952
0.4,-0.96875,0.015625,off_first,1.0,0,0.4,2096179952
0.4,-0.9765625,0.01171875,random,1.0,1,0.4,2096179952
-0.4,-0.9921875,0.001953125,off_first,0.0,0,0.5,2096179952
-0.4,-1.0,0.0,random,0.0,1,0.5,2096179952
-0.4,-1.0,0.0,off_first,0.2,0,0.5,2096179952
-0.4,-1.0,0.0,random,0.2,1,0.5,2096179952
-0.4,-0.97265625,0.017578125,off_first,0.4,0,0.5,2096179952
