length,$r_{stable}$,fct,Energy,Consensus,sample
12002,0.1171875,120,-0.876953125,0.267578125,211803976
12002,0.12109375,124,-0.888671875,0.228515625,211803976
12002,0.125,128,-0.884765625,0.130859375,211803976
3528,0.12890625,132,-0.9140625,0.05528539540816327,211803976
12002,0.1328125,136,-0.88671875,0.234375,211803976
12002,0.13671875,140,-0.92578125,0.57421875,211803976
12002,0.140625,144,-0.900390625,0.34765625,211803976
12002,0.14453125,148,-0.853515625,0.107421875,211803976
3780,0.1484375,152,-0.896484375,0.4258835565476191,211803976
12002,0.15234375,156,-0.869140625,0.208984375,211803976
12002,0.15625,160,-0.88671875,0.20703125,211803976
12002,0.08203125,84,-0.9453125,0.724609375,2118039760
16,0.0859375,88,-0.9609375,0.834228515625,2118039760
12002,0.08984375,92,-0.8671875,0.064453125,2118039760
12002,0.09375,96,-0.890625,0.21484375,2118039760
12002,0.09765625,100,-0.91015625,0.607421875,2118039760
48,0.1015625,104,-0.955078125,0.7711588541666666,2118039760
12002,0.10546875,108,-0.87109375,0.01953125,2118039760
12002,0.109375,112,-0.900390625,0.310546875,2118039760
12002,0.11328125,116,-0.880859375,0.1484375,2118039760
540,0.1171875,120,-0.931640625,0.6130280671296297,2118039760
12002,0.12109375,124,-0.8984375,0.30859375,2118039760
12002,0.125,128,-0.888671875,0.28515625,2118039760
12002,0.12890625,132,-0.865234375,0.146484375,2118039760
6888,0.1328125,136,-0.86328125,0.40188297355908825,2118039760
12002,0.13671875,140,-0.861328125,0.330078125,2118039760
12002,0.140625,144,-0.9140625,0.3203125,2118039760
12002,0.14453125,148,-0.90625,0.119140625,2118039760
12002,0.1484375,152,-0.908203125,0.48828125,2118039760
60,0.15234375,156,-0.935546875,0.8460286458333334,2118039760
12002,0.15625,160,-0.912109375,0.416015625,2118039760
12002,0.08203125,84,-0.91796875,0.46484375,2118039742
10,0.0859375,88,-0.943359375,0.609375,2118039742
12002,0.08984375,92,-0.921875,0.03125,2118039742
168,0.09375,96,-0.92578125,0.18660481770833331,2118039742
9240,0.09765625,100,-0.935546875,0.5855823863636364,2118039742
12002,0.1015625,104,-0.921875,0.376953125,2118039742
12002,0.10546875,108,-0.916015625,0.109375,2118039742
12002,0.109375,112,-0.890625,0.16796875,2118039742
12002,0.11328125,116,-0.8984375,0.5546875,2118039742
12002,0.1171875,120,-0.908203125,0.224609375,2118039742
12002,0.12109375,124,-0.890625,0.263671875,2118039742
12002,0.125,128,-0.888671875,0.21484375,2118039742
174,0.12890625,132,-0.94140625,0.6583714978448276,2118039742
12002,0.1328125,136,-0.869140625,0.400390625,2118039742
12002,0.13671875,140,-0.876953125,0.275390625,2118039742
12002,0.140625,144,-0.873046875,0.041015625,2118039742
