init_magnet,Energy,Density,order,init_stab,length
0.8,-1.0,0.0,off_first,0.8,0
0.8,-1.0,0.0,random,0.8,1
0.8,-0.9921875,0.00390625,off_first,1.0,0
0.8,-1.0,0.0,random,1.0,1
0.0,-1.0,1.0,off_first,0.0,0
0.0,-1.0,0.0,random,0.0,1
0.0,-0.98828125,0.9912109375,off_first,0.2,0
0.0,-0.845703125,0.55859375,random,0.2,12002
0.0,-0.96875,0.9794921875,off_first,0.4,0
0.0,-0.82421875,0.5307134271978022,random,0.4,1092
0.0,-0.912109375,0.9453125,off_first,0.5,0
0.0,-0.798828125,0.2919921875,random,0.5,120
0.0,-0.89453125,0.927734375,off_first,0.6,0
0.0,-0.705078125,0.5118001302083334,random,0.6,12
0.0,-0.75390625,0.7705078125,off_first,0.8,0
0.0,-0.66796875,0.48681640625,random,0.8,6
0.0,-0.630859375,0.6884765625,off_first,1.0,0
0.0,-0.595703125,0.45703125,random,1.0,1
0.2,-1.0,1.0,off_first,0.0,0
0.2,-1.0,0.0,random,0.0,1
0.2,-1.0,1.0,off_first,0.2,0
0.2,-0.974609375,0.03056640625,random,0.2,30
0.2,-0.828125,0.78125,off_first,0.4,0
0.2,-0.90625,0.1103515625,random,0.4,30
0.2,-0.80078125,0.8046875,off_first,0.5,0
0.2,-0.859375,0.1533203125,random,0.5,12
0.2,-0.759765625,0.630859375,off_first,0.6,0
0.2,-0.83984375,0.18994140625,random,0.6,12
0.2,-0.673828125,0.51953125,off_first,0.8,0
0.2,-0.740234375,0.244140625,random,0.8,6
0.2,-0.56640625,0.458984375,off_first,1.0,0
0.2,-0.638671875,0.27734375,random,1.0,1
0.4,-1.0,1.0,off_first,0.0,0
0.4,-1.0,0.0,random,0.0,1
0.4,-0.921875,0.8701171875,off_first,0.2,0
0.4,-1.0,0.0,random,0.2,1
0.4,-0.75,0.5458984375,off_first,0.4,0
0.4,-1.0,0.0,random,0.4,1
0.4,-0.75390625,0.4638671875,off_first,0.5,0
0.4,-0.97265625,0.015625,random,0.5,1
0.4,-0.78515625,0.283203125,off_first,0.6,0
0.4,-0.951171875,0.02978515625,random,0.6,2
0.4,-0.7265625,0.26953125,off_first,0.8,0
0.4,-0.919921875,0.048828125,random,0.8,1
0.4,-0.751953125,0.185546875,off_first,1.0,0
0.4,-0.89453125,0.0673828125,random,1.0,1
0.5,-1.0,1.0,off_first,0.0,0
0.5,-1.0,0.0,random,0.0,1
0.5,-0.83984375,0.61328125,off_first,0.2,0
0.5,-1.0,0.0,random,0.2,1
0.5,-0.796875,0.3544921875,off_first,0.4,0
0.5,-0.974609375,0.01904296875,random,0.4,2
0.5,-0.884765625,0.1435546875,off_first,0.5,0
0.5,-0.982421875,0.01513671875,random,0.5,2
0.5,-0.876953125,0.095703125,off_first,0.6,0
0.5,-0.96875,0.01953125,random,0.6,1
0.5,-0.865234375,0.111328125,off_first,0.8,0
0.5,-0.9375,0.041015625,random,0.8,1
0.5,-0.8046875,0.138671875,off_first,1.0,0
0.5,-0.931640625,0.041015625,random,1.0,1
0.6,-1.0,1.0,off_first,0.0,0
0.6,-1.0,0.0,random,0.0,1
0.6,-0.904296875,0.1796875,off_first,0.2,0
0.6,-1.0,0.0,random,0.2,1
0.6,-0.91015625,0.1015625,off_first,0.4,0
0.6,-0.990234375,0.005859375,random,0.4,1
0.6,-0.982421875,0.009765625,off_first,0.5,0
0.6,-0.9921875,0.00390625,random,0.5,1
0.6,-0.953125,0.03515625,off_first,0.6,0
0.6,-1.0,0.0,random,0.6,1
0.6,-0.919921875,0.056640625,off_first,0.8,0
0.6,-0.9921875,0.00390625,random,0.8,1
0.6,-0.869140625,0.076171875,off_first,1.0,0
0.6,-0.91796875,0.0458984375,random,1.0,1
0.8,-0.984375,0.00390625,off_first,0.0,0
0.8,-1.0,0.0,random,0.0,1
0.8,-0.9765625,0.005859375,off_first,0.2,0
0.8,-1.0,0.0,random,0.2,1
0.8,-0.96875,0.0078125,off_first,0.4,0
0.8,-1.0,0.0,random,0.4,1
0.8,-0.9921875,0.001953125,off_first,0.5,0
0.8,-1.0,0.0,random,0.5,1
0.8,-1.0,0.0,off_first,0.6,0
0.8,-1.0,0.0,random,0.6,1
