length,init_magnet,Energy,Consensus
2,0.4,-0.955078125,0.947265625
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.986328125,0.98046875
12,0.0,-0.7421875,0.1806640625
12,0.2,-0.841796875,0.6959635416666666
1,0.4,-0.9453125,0.9453125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.96875
60,0.0,-0.708984375,0.05078125
12,0.2,-0.85546875,0.7184244791666666
1,0.4,-0.955078125,0.94921875
1,0.6,-0.9921875,0.9921875
1,0.8,-0.984375,0.984375
1,1.0,-1.0,1.0
1,0.5,-0.978515625,0.97265625
12,0.0,-0.7421875,0.005208333333333333
6,0.2,-0.841796875,0.6673177083333334
6,0.4,-0.92578125,0.8818359375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.9765625,0.9658203125
12,0.0,-0.734375,0.0244140625
12,0.2,-0.83203125,0.6471354166666666
1,0.4,-0.939453125,0.93359375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.962890625,0.95703125
12,0.0,-0.783203125,0.0830078125
12,0.2,-0.80078125,0.5794270833333334
1,0.4,-1.0,1.0
1,0.6,-0.984375,0.984375
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
4,0.5,-0.9609375,0.953125
60,0.0,-0.771484375,0.14713541666666666
60,0.2,-0.86328125,0.7347005208333334
12,0.4,-0.9375,0.884765625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.955078125,0.94140625
12,0.0,-0.75390625,0.0244140625
12,0.2,-0.845703125,0.6572265625
6,0.4,-0.91796875,0.8876953125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
3,0.5,-0.953125,0.93359375
12,0.0,-0.7578125,0.02278645833333333
30,0.2,-0.80078125,0.564453125
2,0.4,-0.955078125,0.923828125
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.98046875,0.9765625
12,0.0,-0.740234375,0.009440104166666666
6,0.2,-0.826171875,0.5856119791666666
1,0.4,-0.970703125,0.96484375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.96875
12,0.0,-0.755859375,0.0361328125
12,0.2,-0.83203125,0.6591796875
6,0.4,-0.955078125,0.9427083333333334
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.970703125,0.962890625
12,0.0,-0.794921875,0.1171875
6,0.2,-0.876953125,0.6630859375
12,0.4,-0.947265625,0.87109375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.96484375,0.953125
60,0.0,-0.765625,0.033203125
12,0.2,-0.8359375,0.6337890625
3,0.4,-0.931640625,0.90625
1,0.6,-1.0,1.0
3,0.8,-0.984375,0.9765625
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
12,0.0,-0.724609375,0.0341796875
12,0.2,-0.873046875,0.6350911458333334
2,0.4,-0.9609375,0.953125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-1.0,1.0
12,0.0,-0.7734375,0.3203125
6,0.2,-0.814453125,0.6110026041666666
1,0.4,-0.984375,0.984375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-1.0,1.0
60,0.0,-0.7421875,0.2177734375
12,0.2,-0.810546875,0.5419921875
3,0.4,-0.947265625,0.9186197916666666
1,0.6,-0.9765625,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
60,0.0,-0.75,0.06803385416666667
6,0.2,-0.8671875,0.7275390625
12,0.4,-0.9453125,0.92578125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.96875
12,0.0,-0.75,0.0751953125
12,0.2,-0.8359375,0.59765625
12,0.4,-0.88671875,0.810546875
1,0.6,-0.9921875,0.9921875
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
12,0.5,-0.9609375,0.923828125
12,0.0,-0.732421875,0.287109375
12,0.2,-0.84765625,0.7161458333333334
2,0.4,-0.962890625,0.947265625
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.9609375,0.953125
12,0.0,-0.73828125,0.14420572916666666
12,0.2,-0.8359375,0.6614583333333334
3,0.4,-0.9609375,0.9407552083333334
1,0.6,-0.98046875,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.978515625,0.970703125
12,0.0,-0.75390625,0.12369791666666667
12,0.2,-0.849609375,0.7018229166666666
12,0.4,-0.958984375,0.943359375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
12,0.5,-0.966796875,0.951171875
12,0.0,-0.759765625,0.2643229166666667
12,0.2,-0.818359375,0.6057942708333334
2,0.4,-0.94140625,0.92578125
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
60,0.0,-0.75,0.11263020833333333
6,0.2,-0.88671875,0.8160807291666666
1,0.4,-0.970703125,0.96484375
1,0.6,-1.0,1.0
