energy,p_a
27.0,0.6
34.0,0.6
39.0,0.6
34.0,0.6
28.5,0.6
30.0,0.6
37.5,0.6
29.5,0.6
25.5,0.6
35.0,0.6
37.0,0.6
28.5,0.6
33.0,0.6
23.5,0.6
34.5,0.6
29.0,0.6
31.5,0.6
30.0,0.6
36.5,0.6
29.0,0.6
29.5,0.6
26.5,0.6
29.5,0.6
28.0,0.6
34.0,0.6
30.5,0.6
28.5,0.6
32.0,0.6
34.0,0.6
30.0,0.6
30.0,0.6
25.0,0.6
29.5,0.6
25.0,0.6
34.5,0.6
35.5,0.6
32.5,0.6
19.0,0.6
28.0,0.6
29.5,0.6
28.0,0.6
34.5,0.6
23.0,0.6
35.0,0.6
34.5,0.6
36.5,0.6
35.0,0.6
28.5,0.6
29.5,0.6
31.0,0.6
30.5,0.6
32.0,0.6
38.5,0.8
42.5,0.8
36.5,0.8
33.0,0.8
44.0,0.8
32.5,0.8
34.0,0.8
45.0,0.8
41.0,0.8
46.0,0.8
37.5,0.8
46.5,0.8
37.5,0.8
35.0,0.8
40.0,0.8
38.0,0.8
45.0,0.8
28.5,0.8
41.0,0.8
37.0,0.8
32.0,0.8
44.5,0.8
48.0,0.8
41.5,0.8
31.5,0.8
43.0,0.8
35.0,0.8
39.0,0.8
36.5,0.8
44.0,0.8
33.0,0.8
37.0,0.8
28.0,0.8
47.0,0.8
47.5,0.8
39.5,0.8
41.5,0.8
34.0,0.8
38.0,0.8
48.5,0.8
35.0,0.8
46.0,0.8
41.0,0.8
38.0,0.8
33.0,0.8
34.5,0.8
45.5,0.8
50.5,0.8
32.5,0.8
43.0,0.8
29.5,0.8
40.5,0.8
38.0,0.8
38.5,0.8
50.5,0.8
42.0,0.8
32.0,0.8
38.5,0.8
40.5,0.8
36.0,0.8
34.0,0.8
30.5,0.8
41.0,0.8
48.0,0.8
50.0,0.8
49.0,0.8
39.5,0.8
39.0,0.8
37.0,0.8
29.0,0.8
40.5,0.8
36.0,0.8
34.0,0.8
40.0,0.8
35.5,0.8
37.0,0.8
37.0,0.8
40.0,0.8
44.0,0.8
37.5,0.8
42.5,0.8
40.5,0.8
51.0,0.8
32.5,0.8
42.0,0.8
33.5,0.8
40.0,0.8
43.0,0.8
35.0,0.8
36.0,0.8
52.5,0.8
41.0,0.8
44.5,0.8
43.5,0.8
45.5,0.8
40.5,0.8
47.0,0.8
36.0,0.8
38.0,0.8
34.5,0.8
29.0,0.8
36.5,0.8
37.5,0.8
36.0,0.8
42.0,0.8
35.0,0.8
34.0,0.8
39.0,0.8
35.0,0.8
35.0,0.8
30.5,0.8
38.5,0.8
43.0,0.8
39.5,0.8
