length,p_a
1.0,0.125
1.0,0.125
202.0,0.125
68.0,0.125
202.0,0.125
1.0,0.125
68.0,0.125
202.0,0.125
1.0,0.125
15.0,0.125
1.0,0.125
202.0,0.125
1.0,0.125
1.0,0.125
1.0,0.125
44.0,0.125
1.0,0.125
202.0,0.125
68.0,0.125
1.0,0.125
68.0,0.125
202.0,0.125
202.0,0.125
20.0,0.125
202.0,0.125
68.0,0.125
44.0,0.125
1.0,0.125
1.0,0.125
44.0,0.125
202.0,0.125
44.0,0.125
202.0,0.125
1.0,0.125
202.0,0.125
202.0,0.125
1.0,0.125
202.0,0.125
44.0,0.125
1.0,0.125
202.0,0.125
1.0,0.125
1.0,0.125
44.0,0.125
202.0,0.125
15.0,0.125
202.0,0.125
1.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
202.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
202.0,0.125
202.0,0.125
44.0,0.125
1.0,0.125
20.0,0.125
1.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
1.0,0.125
68.0,0.125
1.0,0.125
68.0,0.125
1.0,0.125
1.0,0.125
68.0,0.125
44.0,0.125
202.0,0.125
202.0,0.125
68.0,0.125
1.0,0.125
20.0,0.125
202.0,0.125
1.0,0.125
44.0,0.125
1.0,0.125
1.0,0.125
44.0,0.125
68.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
202.0,0.125
44.0,0.125
1.0,0.125
44.0,0.125
68.0,0.125
1.0,0.125
44.0,0.125
202.0,0.125
1.0,0.125
68.0,0.125
1.0,0.125
202.0,0.125
15.0,0.125
1.0,0.125
1.0,0.125
5.0,0.125
15.0,0.125
44.0,0.125
1.0,0.125
20.0,0.125
68.0,0.125
1.0,0.125
202.0,0.125
68.0,0.125
15.0,0.125
202.0,0.125
1.0,0.125
68.0,0.125
15.0,0.125
202.0,0.125
1.0,0.125
68.0,0.125
15.0,0.125
1.0,0.125
202.0,0.125
1.0,0.125
15.0,0.125
1.0,0.125
202.0,0.125
15.0,0.125
44.0,0.125
1.0,0.125
1.0,0.125
44.0,0.125
1.0,0.125
202.0,0.125
15.0,0.125
202.0,0.125
68.0,0.125
1.0,0.125
44.0,0.125
202.0,0.125
20.0,0.125
202.0,0.125
15.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
12.0,0.25000000000000006
10.0,0.25000000000000006
21.0,0.25000000000000006
10.0,0.25000000000000006
1.0,0.25000000000000006
1.0,0.25000000000000006
140.0,0.25000000000000006
4.0,0.25000000000000006
10.0,0.25000000000000006
20.0,0.25000000000000006
10.0,0.25000000000000006
202.0,0.25000000000000006
12.0,0.25000000000000006
