length,p_a
30.0,0.3
24.0,0.3
15.0,0.3
202.0,0.3
24.0,0.3
154.0,0.3
66.0,0.3
24.0,0.3
202.0,0.3
88.0,0.3
24.0,0.3
202.0,0.3
22.0,0.3
202.0,0.3
24.0,0.3
6.0,0.3
56.0,0.3
6.0,0.3
202.0,0.3
168.0,0.3
24.0,0.3
8.0,0.3
168.0,0.3
22.0,0.3
40.0,0.3
202.0,0.3
8.0,0.3
8.0,0.3
8.0,0.3
8.0,0.3
42.0,0.3
8.0,0.3
8.0,0.3
77.0,0.3
11.0,0.3
202.0,0.3
202.0,0.3
202.0,0.3
88.0,0.3
24.0,0.3
66.0,0.3
10.0,0.3
8.0,0.3
42.0,0.3
56.0,0.3
88.0,0.3
202.0,0.3
168.0,0.3
2.0,0.3
168.0,0.3
2.0,0.3
202.0,0.3
202.0,0.3
202.0,0.3
154.0,0.3
2.0,0.3
8.0,0.3
6.0,0.3
66.0,0.3
202.0,0.3
202.0,0.3
2.0,0.3
168.0,0.3
202.0,0.3
40.0,0.3
24.0,0.3
