length,$p_{stable}$,Energy,Consensus
4960,$1/{n^{3/4}}$,-0.99609375,0.39453125
20002,$1/\sqrt{n}$,-0.98046875,0.306640625
20002,$1/{n^{1/3}}$,-0.953125,0.02734375
1,$1/\log^{3}(n)$,-1.0,1.0
16380,$1/\log^{2}(n)$,-0.9921875,0.564453125
20002,$1/\log(n)$,-0.9453125,0.06640625
512,$1/n^{3/2}$,-0.953125,0.125
512,$1/n$,-0.953125,0.125
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.98828125,0.216796875
20002,$1/{n^{1/3}}$,-0.9453125,0.072265625
1,$1/\log^{3}(n)$,-1.0,1.0
2940,$1/\log^{2}(n)$,-0.99609375,0.4912109375
20002,$1/\log(n)$,-0.94140625,0.275390625
512,$1/n^{3/2}$,-0.99609375,0.98828125
512,$1/n$,-0.99609375,0.98828125
2698,$1/{n^{3/4}}$,-0.99609375,0.3896484375
20002,$1/\sqrt{n}$,-0.9921875,0.078125
20002,$1/{n^{1/3}}$,-0.9609375,0.08203125
1,$1/\log^{3}(n)$,-1.0,1.0
812,$1/\log^{2}(n)$,-0.99609375,0.5810546875
20002,$1/\log(n)$,-0.9609375,0.298828125
512,$1/n^{3/2}$,-0.98828125,0.73046875
1,$1/n$,-1.0,1.0
4880,$1/{n^{3/4}}$,-0.99609375,0.4768786821209016
840,$1/\sqrt{n}$,-0.9921875,0.1826171875
20002,$1/{n^{1/3}}$,-0.94921875,0.0703125
1,$1/\log^{3}(n)$,-1.0,1.0
680,$1/\log^{2}(n)$,-0.99609375,0.6083984375
20002,$1/\log(n)$,-0.95703125,0.01953125
512,$1/n^{3/2}$,-0.98828125,0.9453125
512,$1/n$,-0.98828125,0.9453125
20002,$1/{n^{3/4}}$,-0.99609375,0.67578125
20002,$1/\sqrt{n}$,-0.98046875,0.443359375
20002,$1/{n^{1/3}}$,-0.95703125,0.08203125
512,$1/\log^{3}(n)$,-0.98828125,0.9453125
1,$1/\log^{2}(n)$,-1.0,1.0
20002,$1/\log(n)$,-0.953125,0.111328125
512,$1/n^{3/2}$,-0.96484375,0.71484375
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.048828125
20002,$1/\sqrt{n}$,-0.9921875,0.056640625
20002,$1/{n^{1/3}}$,-0.94140625,0.095703125
512,$1/\log^{3}(n)$,-0.96484375,0.71484375
216,$1/\log^{2}(n)$,-0.99609375,0.68359375
20002,$1/\log(n)$,-0.9609375,0.13671875
512,$1/n^{3/2}$,-0.98828125,0.8984375
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.98828125,0.158203125
20002,$1/{n^{1/3}}$,-0.953125,0.103515625
512,$1/\log^{3}(n)$,-0.98828125,0.8984375
20002,$1/\log^{2}(n)$,-0.99609375,0.314453125
20002,$1/\log(n)$,-0.9453125,0.001953125
512,$1/n^{3/2}$,-0.953125,0.3984375
512,$1/n$,-0.953125,0.3984375
3570,$1/{n^{3/4}}$,-0.99609375,0.8349609375
20002,$1/\sqrt{n}$,-0.984375,0.150390625
20002,$1/{n^{1/3}}$,-0.97265625,0.001953125
1,$1/\log^{3}(n)$,-1.0,1.0
1455,$1/\log^{2}(n)$,-0.99609375,0.1171875
20002,$1/\log(n)$,-0.953125,0.06640625
512,$1/n^{3/2}$,-0.984375,0.87109375
512,$1/n$,-0.984375,0.87109375
20002,$1/{n^{3/4}}$,-0.99609375,0.58203125
20002,$1/\sqrt{n}$,-0.9765625,0.0234375
20002,$1/{n^{1/3}}$,-0.96875,0.08984375
1,$1/\log^{3}(n)$,-1.0,1.0
16422,$1/\log^{2}(n)$,-0.99609375,0.19017493206521735
20002,$1/\log(n)$,-0.96484375,0.052734375
512,$1/n^{3/2}$,-0.94921875,0.30859375
1,$1/n$,-1.0,1.0
8856,$1/{n^{3/4}}$,-0.99609375,0.35474404711495033
1332,$1/\sqrt{n}$,-0.9921875,0.6708984375
20002,$1/{n^{1/3}}$,-0.9375,0.1015625
512,$1/\log^{3}(n)$,-0.94921875,0.30859375
4216,$1/\log^{2}(n)$,-0.99609375,0.412109375
20002,$1/\log(n)$,-0.94921875,0.123046875
512,$1/n^{3/2}$,-0.9765625,0.83203125
20002,$1/n$,-0.99609375,0.1015625
20002,$1/{n^{3/4}}$,-0.99609375,0.58203125
20002,$1/\sqrt{n}$,-0.984375,0.396484375
20002,$1/{n^{1/3}}$,-0.94140625,0.130859375
1,$1/\log^{3}(n)$,-1.0,1.0
9982,$1/\log^{2}(n)$,-0.99609375,0.1983067568498297
20002,$1/\log(n)$,-0.953125,0.1328125
512,$1/n^{3/2}$,-0.97265625,0.83984375
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.328125
20002,$1/\sqrt{n}$,-0.984375,0.3828125
20002,$1/{n^{1/3}}$,-0.9375,0.013671875
1,$1/\log^{3}(n)$,-1.0,1.0
1785,$1/\log^{2}(n)$,-0.99609375,0.37109375
20002,$1/\log(n)$,-0.94921875,0.107421875
512,$1/n^{3/2}$,-0.95703125,0.59375
512,$1/n$,-0.95703125,0.59375
5304,$1/{n^{3/4}}$,-0.9921875,0.3818359375
20002,$1/\sqrt{n}$,-0.98046875,0.146484375
20002,$1/{n^{1/3}}$,-0.94140625,0.30859375
512,$1/\log^{3}(n)$,-0.95703125,0.59375
20002,$1/\log^{2}(n)$,-0.99609375,0.017578125
20002,$1/\log(n)$,-0.96875,0.1015625
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
3600,$1/\sqrt{n}$,-0.9921875,0.2001953125
20002,$1/{n^{1/3}}$,-0.95703125,0.03125
1,$1/\log^{3}(n)$,-1.0,1.0
75,$1/\log^{2}(n)$,-0.99609375,0.044895833333333336
20002,$1/\log(n)$,-0.95703125,0.296875
512,$1/n^{3/2}$,-0.98828125,0.9140625
512,$1/n$,-0.98828125,0.9140625
4750,$1/{n^{3/4}}$,-0.99609375,0.6630859375
20002,$1/\sqrt{n}$,-0.98046875,0.2421875
20002,$1/{n^{1/3}}$,-0.96875,0.162109375
1,$1/\log^{3}(n)$,-1.0,1.0
7050,$1/\log^{2}(n)$,-0.99609375,0.685546875
20002,$1/\log(n)$,-0.94921875,0.140625
512,$1/n^{3/2}$,-0.9453125,0.53515625
1,$1/n$,-1.0,1.0
7182,$1/{n^{3/4}}$,-0.99609375,0.4892578125
16632,$1/\sqrt{n}$,-0.98828125,0.412109375
20002,$1/{n^{1/3}}$,-0.94921875,0.24609375
512,$1/\log^{3}(n)$,-0.9453125,0.53515625
20002,$1/\log^{2}(n)$,-0.99609375,0.03125
20002,$1/\log(n)$,-0.953125,0.01953125
512,$1/n^{3/2}$,-0.99609375,0.9921875
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.37109375
20002,$1/\sqrt{n}$,-0.98828125,0.59375
20002,$1/{n^{1/3}}$,-0.95703125,0.009765625
1,$1/\log^{3}(n)$,-1.0,1.0
20002,$1/\log^{2}(n)$,-0.9921875,0.654296875
20002,$1/\log(n)$,-0.953125,0.041015625
512,$1/n^{3/2}$,-0.984375,0.94140625
512,$1/n$,-0.984375,0.94140625
20002,$1/{n^{3/4}}$,-0.99609375,0.462890625
20002,$1/\sqrt{n}$,-0.984375,0.017578125
20002,$1/{n^{1/3}}$,-0.9375,0.041015625
1,$1/\log^{3}(n)$,-1.0,1.0
20002,$1/\log^{2}(n)$,-0.99609375,0.193359375
20002,$1/\log(n)$,-0.97265625,0.150390625
512,$1/n^{3/2}$,-0.96875,0.8046875
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.7421875
20002,$1/\sqrt{n}$,-0.98046875,0.279296875
20002,$1/{n^{1/3}}$,-0.94140625,0.22265625
1,$1/\log^{3}(n)$,-1.0,1.0
276,$1/\log^{2}(n)$,-0.99609375,0.032552083333333336
20002,$1/\log(n)$,-0.953125,0.111328125
512,$1/n^{3/2}$,-0.98828125,0.8046875
512,$1/n$,-0.98828125,0.8046875
14140,$1/{n^{3/4}}$,-0.99609375,0.5341796875
20002,$1/\sqrt{n}$,-0.98046875,0.234375
20002,$1/{n^{1/3}}$,-0.95703125,0.412109375
1,$1/\log^{3}(n)$,-1.0,1.0
2556,$1/\log^{2}(n)$,-0.99609375,0.626953125
20002,$1/\log(n)$,-0.9296875,0.037109375
512,$1/n^{3/2}$,-0.99609375,0.8515625
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.078125
20002,$1/\sqrt{n}$,-0.9765625,0.1953125
20002,$1/{n^{1/3}}$,-0.9453125,0.1328125
1,$1/\log^{3}(n)$,-1.0,1.0
20002,$1/\log^{2}(n)$,-0.99609375,0.56640625
20002,$1/\log(n)$,-0.953125,0.404296875
512,$1/n^{3/2}$,-0.96484375,0.65234375
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.15625
20002,$1/\sqrt{n}$,-0.984375,0.19140625
20002,$1/{n^{1/3}}$,-0.9609375,0.126953125
1,$1/\log^{3}(n)$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
20002,$1/\log(n)$,-0.95703125,0.21484375
512,$1/n^{3/2}$,-0.9453125,0.203125
512,$1/n$,-0.9453125,0.203125
20002,$1/{n^{3/4}}$,-0.99609375,0.501953125
20002,$1/\sqrt{n}$,-0.984375,0.298828125
20002,$1/{n^{1/3}}$,-0.9609375,0.19921875
512,$1/\log^{3}(n)$,-0.9453125,0.203125
6390,$1/\log^{2}(n)$,-0.99609375,0.7734375
20002,$1/\log(n)$,-0.94921875,0.30078125
512,$1/n^{3/2}$,-0.9921875,0.2578125
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.98828125,0.19921875
20002,$1/{n^{1/3}}$,-0.9609375,0.205078125
512,$1/\log^{3}(n)$,-0.9921875,0.2578125
1110,$1/\log^{2}(n)$,-0.99609375,0.3359375
13860,$1/\log(n)$,-0.96875,0.328125
512,$1/n^{3/2}$,-0.96875,0.8125
1,$1/n$,-1.0,1.0
4515,$1/{n^{3/4}}$,-0.99609375,0.6875
20002,$1/\sqrt{n}$,-0.984375,0.19140625
20002,$1/{n^{1/3}}$,-0.9609375,0.09765625
512,$1/\log^{3}(n)$,-0.96875,0.8125
1,$1/\log^{2}(n)$,-1.0,1.0
20002,$1/\log(n)$,-0.95703125,0.3515625
512,$1/n^{3/2}$,-0.96875,0.609375
512,$1/n$,-0.96875,0.609375
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.984375,0.1953125
20002,$1/{n^{1/3}}$,-0.953125,0.458984375
1,$1/\log^{3}(n)$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
20002,$1/\log(n)$,-0.9609375,0.20703125
512,$1/n^{3/2}$,-0.984375,0.83203125
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.400390625
20002,$1/\sqrt{n}$,-0.984375,0.427734375
20002,$1/{n^{1/3}}$,-0.95703125,0.248046875
1,$1/\log^{3}(n)$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
20002,$1/\log(n)$,-0.9609375,0.029296875
512,$1/n^{3/2}$,-0.98828125,0.921875
1,$1/n$,-1.0,1.0
10304,$1/{n^{3/4}}$,-0.99609375,0.3964411575601708
20002,$1/\sqrt{n}$,-0.98046875,0.39453125
20002,$1/{n^{1/3}}$,-0.9375,0.064453125
1,$1/\log^{3}(n)$,-1.0,1.0
4250,$1/\log^{2}(n)$,-0.99609375,0.2548828125
20002,$1/\log(n)$,-0.9609375,0.048828125
512,$1/n^{3/2}$,-0.97265625,0.85546875
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.20703125
20002,$1/\sqrt{n}$,-0.984375,0.234375
20002,$1/{n^{1/3}}$,-0.953125,0.240234375
1,$1/\log^{3}(n)$,-1.0,1.0
1098,$1/\log^{2}(n)$,-0.99609375,0.03833141222677595
20002,$1/\log(n)$,-0.94921875,0.005859375
512,$1/n^{3/2}$,-0.984375,0.94140625
512,$1/n$,-0.984375,0.94140625
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.984375,0.41015625
20002,$1/{n^{1/3}}$,-0.9609375,0.103515625
512,$1/\log^{3}(n)$,-0.984375,0.94140625
1,$1/\log^{2}(n)$,-1.0,1.0
20002,$1/\log(n)$,-0.9609375,0.248046875
512,$1/n^{3/2}$,-0.984375,0.984375
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.98046875,0.447265625
20002,$1/{n^{1/3}}$,-0.9375,0.1171875
1,$1/\log^{3}(n)$,-1.0,1.0
1540,$1/\log^{2}(n)$,-0.9921875,0.671875
20002,$1/\log(n)$,-0.94140625,0.15625
512,$1/n^{3/2}$,-0.98828125,0.87890625
512,$1/n$,-0.98828125,0.87890625
1,$1/{n^{3/4}}$,-1.0,1.0
1890,$1/\sqrt{n}$,-0.98828125,0.4892578125
20002,$1/{n^{1/3}}$,-0.9453125,0.216796875
512,$1/\log^{3}(n)$,-0.98828125,0.87890625
20002,$1/\log^{2}(n)$,-0.99609375,0.458984375
20002,$1/\log(n)$,-0.94921875,0.041015625
512,$1/n^{3/2}$,-0.98828125,0.6796875
1,$1/n$,-1.0,1.0
272,$1/{n^{3/4}}$,-0.99609375,0.65625
20002,$1/\sqrt{n}$,-0.984375,0.515625
20002,$1/{n^{1/3}}$,-0.96484375,0.03125
512,$1/\log^{3}(n)$,-0.98828125,0.6796875
