length,$p_{stable}$,Energy,Consensus
1260,$1/\sqrt{n}$,-0.953125,0.14779265873015873
180,$1/{n^{1/3}}$,-0.953125,0.12118055555555556
1,$1/\log^{2}(n)$,-1.0,1.0
2100,$1/\log(n)$,-0.953125,0.45703125
255,$0$,0.15625,0.035294117647058816
255,$1/n^2$,0.15625,0.035294117647058816
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.3046875
1260,$1/{n^{1/3}}$,-0.921875,0.26171875
1,$1/\log^{2}(n)$,-1.0,1.0
630,$1/\log(n)$,-0.921875,0.20703125
255,$0$,-0.140625,0.1215686274509804
255,$1/n^2$,-0.140625,0.1215686274509804
255,$1/n^{3/2}$,-0.140625,0.1215686274509804
1,$1/n$,-1.0,1.0
440,$1/\sqrt{n}$,-0.953125,0.30078125
3002,$1/{n^{1/3}}$,-0.90625,0.1171875
2356,$1/\log^{2}(n)$,-0.984375,0.18133223684210525
540,$1/\log(n)$,-0.9375,0.07022569444444443
255,$0$,-0.03125,0.07450980392156863
255,$1/n^2$,-0.03125,0.07450980392156863
255,$1/n^{3/2}$,-0.03125,0.07450980392156863
1,$1/n$,-1.0,1.0
176,$1/\sqrt{n}$,-0.984375,0.55078125
3002,$1/{n^{1/3}}$,-0.9375,0.3984375
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.9375,0.2734375
255,$0$,0.0,0.05882352941176471
255,$1/n^2$,0.0,0.05882352941176471
255,$1/n^{3/2}$,0.0,0.05882352941176471
255,$1/n$,0.0,0.05882352941176471
3002,$1/\sqrt{n}$,-0.953125,0.2421875
132,$1/{n^{1/3}}$,-0.96875,0.234375
638,$1/\log^{2}(n)$,-0.984375,0.421875
3002,$1/\log(n)$,-0.9375,0.140625
255,$0$,0.078125,0.0196078431372549
255,$1/n^2$,0.078125,0.0196078431372549
255,$1/n^{3/2}$,0.078125,0.0196078431372549
255,$1/n$,0.078125,0.0196078431372549
3002,$1/\sqrt{n}$,-0.953125,0.0859375
60,$1/{n^{1/3}}$,-0.953125,0.203125
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.921875,0.0390625
255,$0$,0.078125,0.035294117647058816
255,$1/n^2$,0.078125,0.035294117647058816
255,$1/n^{3/2}$,0.078125,0.035294117647058816
1,$1/n$,-1.0,1.0
259,$1/\sqrt{n}$,-0.984375,0.5390625
945,$1/{n^{1/3}}$,-0.96875,0.1875
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.953125,0.2734375
255,$0$,0.078125,0.07450980392156863
255,$1/n^2$,0.078125,0.07450980392156863
255,$1/n^{3/2}$,0.078125,0.07450980392156863
1,$1/n$,-1.0,1.0
30,$1/\sqrt{n}$,-0.984375,0.60546875
2520,$1/{n^{1/3}}$,-0.890625,0.25
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.953125,0.2890625
255,$0$,-0.125,0.035294117647058816
255,$1/n^2$,-0.125,0.035294117647058816
255,$1/n^{3/2}$,-0.125,0.035294117647058816
1,$1/n$,-1.0,1.0
1008,$1/\sqrt{n}$,-0.96875,0.2265625
84,$1/{n^{1/3}}$,-0.96875,0.54296875
3002,$1/\log^{2}(n)$,-0.984375,0.203125
3002,$1/\log(n)$,-0.921875,0.25
255,$0$,-0.078125,0.07450980392156863
255,$1/n^2$,-0.078125,0.07450980392156863
255,$1/n^{3/2}$,-0.078125,0.07450980392156863
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.3828125
3002,$1/{n^{1/3}}$,-0.921875,0.296875
3002,$1/\log^{2}(n)$,-0.984375,0.3046875
840,$1/\log(n)$,-0.921875,0.37890625
255,$0$,0.0,0.05882352941176471
255,$1/n^2$,0.0,0.05882352941176471
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.125
360,$1/{n^{1/3}}$,-0.953125,0.57421875
3002,$1/\log^{2}(n)$,-0.984375,0.15625
420,$1/\log(n)$,-0.921875,0.125
255,$0$,-0.015625,0.0039215686274509795
255,$1/n^2$,-0.015625,0.0039215686274509795
255,$1/n^{3/2}$,-0.015625,0.0039215686274509795
255,$1/n$,-0.015625,0.0039215686274509795
308,$1/\sqrt{n}$,-0.984375,0.8046875
72,$1/{n^{1/3}}$,-0.953125,0.4453125
1,$1/\log^{2}(n)$,-1.0,1.0
1980,$1/\log(n)$,-0.921875,0.07877209595959596
255,$0$,-0.046875,0.07450980392156863
255,$1/n^2$,-0.046875,0.07450980392156863
255,$1/n^{3/2}$,-0.046875,0.07450980392156863
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
72,$1/{n^{1/3}}$,-0.9375,0.3671875
300,$1/\log^{2}(n)$,-0.984375,0.82421875
48,$1/\log(n)$,-0.953125,0.06217447916666665
255,$0$,-0.015625,0.06666666666666668
255,$1/n^2$,-0.015625,0.06666666666666668
255,$1/n^{3/2}$,-0.015625,0.06666666666666668
940,$1/n$,-0.984375,0.71484375
3002,$1/\sqrt{n}$,-0.96875,0.2265625
3002,$1/{n^{1/3}}$,-0.9375,0.3359375
630,$1/\log^{2}(n)$,-0.984375,0.2572544642857143
240,$1/\log(n)$,-0.953125,0.19140625
255,$0$,-0.015625,0.05882352941176471
255,$1/n^2$,-0.015625,0.05882352941176471
255,$1/n^{3/2}$,-0.015625,0.05882352941176471
255,$1/n$,-0.015625,0.05882352941176471
176,$1/\sqrt{n}$,-0.984375,0.2578125
360,$1/{n^{1/3}}$,-0.9375,0.453125
1,$1/\log^{2}(n)$,-1.0,1.0
680,$1/\log(n)$,-0.953125,0.12127757352941175
255,$0$,-0.078125,0.0039215686274509795
255,$1/n^2$,-0.078125,0.0039215686274509795
255,$1/n^{3/2}$,-0.078125,0.0039215686274509795
1,$1/n$,-1.0,1.0
1220,$1/\sqrt{n}$,-0.984375,0.2549820696721312
3002,$1/{n^{1/3}}$,-0.953125,0.28125
190,$1/\log^{2}(n)$,-0.984375,0.14925986842105265
3002,$1/\log(n)$,-0.9375,0.390625
255,$0$,0.046875,0.07450980392156863
255,$1/n^2$,0.046875,0.07450980392156863
255,$1/n^{3/2}$,0.046875,0.07450980392156863
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.0234375
3002,$1/{n^{1/3}}$,-0.921875,0.171875
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.921875,0.09375
255,$0$,-0.09375,0.0039215686274509795
255,$1/n^2$,-0.09375,0.0039215686274509795
255,$1/n^{3/2}$,-0.09375,0.0039215686274509795
3002,$1/n$,-0.984375,0.1328125
144,$1/\sqrt{n}$,-0.984375,0.62890625
1680,$1/{n^{1/3}}$,-0.921875,0.2734375
3002,$1/\log^{2}(n)$,-0.984375,0.1171875
240,$1/\log(n)$,-0.953125,0.042578125
255,$0$,0.03125,0.06666666666666668
255,$1/n^2$,0.03125,0.06666666666666668
255,$1/n^{3/2}$,0.03125,0.06666666666666668
1,$1/n$,-1.0,1.0
204,$1/\sqrt{n}$,-0.96875,0.625
180,$1/{n^{1/3}}$,-0.9375,0.35546875
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.953125,0.2265625
255,$0$,0.0,0.027450980392156862
255,$1/n^2$,0.0,0.027450980392156862
255,$1/n^{3/2}$,0.0,0.027450980392156862
3002,$1/n$,-0.984375,0.34375
3002,$1/\sqrt{n}$,-0.96875,0.0859375
1848,$1/{n^{1/3}}$,-0.9375,0.17578125
3002,$1/\log^{2}(n)$,-0.984375,0.171875
3002,$1/\log(n)$,-0.9375,0.109375
255,$0$,-0.046875,0.043137254901960784
255,$1/n^2$,-0.046875,0.043137254901960784
255,$1/n^{3/2}$,-0.046875,0.043137254901960784
1,$1/n$,-1.0,1.0
180,$1/\sqrt{n}$,-0.984375,0.0798611111111111
3002,$1/{n^{1/3}}$,-0.953125,0.1640625
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.953125,0.5390625
255,$0$,-0.015625,0.0196078431372549
255,$1/n^2$,-0.015625,0.0196078431372549
255,$1/n^{3/2}$,-0.015625,0.0196078431372549
1,$1/n$,-1.0,1.0
2200,$1/\sqrt{n}$,-0.96875,0.73828125
630,$1/{n^{1/3}}$,-0.953125,0.06719990079365079
3002,$1/\log^{2}(n)$,-0.984375,0.4375
1680,$1/\log(n)$,-0.953125,0.6796875
255,$0$,0.03125,0.027450980392156862
255,$1/n^2$,0.03125,0.027450980392156862
255,$1/n^{3/2}$,0.03125,0.027450980392156862
255,$1/n$,0.03125,0.027450980392156862
345,$1/\sqrt{n}$,-0.984375,0.8359375
1260,$1/{n^{1/3}}$,-0.953125,0.375
1,$1/\log^{2}(n)$,-1.0,1.0
300,$1/\log(n)$,-0.96875,0.09416666666666666
255,$0$,-0.046875,0.10588235294117647
255,$1/n^2$,-0.046875,0.10588235294117647
255,$1/n^{3/2}$,-0.046875,0.10588235294117647
255,$1/n$,-0.046875,0.10588235294117647
3002,$1/\sqrt{n}$,-0.96875,0.5
3002,$1/{n^{1/3}}$,-0.921875,0.0703125
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.9375,0.3671875
255,$0$,-0.015625,0.06666666666666668
255,$1/n^2$,-0.015625,0.06666666666666668
255,$1/n^{3/2}$,-0.015625,0.06666666666666668
255,$1/n$,-0.015625,0.06666666666666668
210,$1/\sqrt{n}$,-0.984375,0.80859375
30,$1/{n^{1/3}}$,-0.96875,0.04973958333333333
180,$1/\log^{2}(n)$,-0.984375,0.31788194444444445
1320,$1/\log(n)$,-0.96875,0.04995265151515151
255,$0$,0.015625,0.10588235294117647
255,$1/n^2$,0.015625,0.10588235294117647
255,$1/n^{3/2}$,0.015625,0.10588235294117647
1,$1/n$,-1.0,1.0
175,$1/\sqrt{n}$,-0.984375,0.4296875
792,$1/{n^{1/3}}$,-0.953125,0.51953125
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.953125,0.40625
255,$0$,-0.09375,0.043137254901960784
255,$1/n^2$,-0.09375,0.043137254901960784
255,$1/n^{3/2}$,-0.09375,0.043137254901960784
1,$1/n$,-1.0,1.0
1680,$1/\sqrt{n}$,-0.953125,0.07739025297619047
330,$1/{n^{1/3}}$,-0.953125,0.42578125
1680,$1/\log^{2}(n)$,-0.984375,0.2418154761904762
1860,$1/\log(n)$,-0.96875,0.453125
255,$0$,-0.0625,0.0196078431372549
255,$1/n^2$,-0.0625,0.0196078431372549
255,$1/n^{3/2}$,-0.0625,0.0196078431372549
1,$1/n$,-1.0,1.0
1320,$1/\sqrt{n}$,-0.96875,0.11828835227272727
2310,$1/{n^{1/3}}$,-0.90625,0.56640625
1,$1/\log^{2}(n)$,-1.0,1.0
90,$1/\log(n)$,-0.9375,0.26171875
255,$0$,-0.09375,0.08235294117647059
255,$1/n^2$,-0.09375,0.08235294117647059
255,$1/n^{3/2}$,-0.09375,0.08235294117647059
1,$1/n$,-1.0,1.0
152,$1/\sqrt{n}$,-0.984375,0.51953125
3002,$1/{n^{1/3}}$,-0.953125,0.03125
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.890625,0.109375
255,$0$,0.046875,0.035294117647058816
255,$1/n^2$,0.046875,0.035294117647058816
255,$1/n^{3/2}$,0.046875,0.035294117647058816
255,$1/n$,0.046875,0.035294117647058816
